created_at,favorite_count,id_str,in_reply_to_user_id_str,retweet_count,source,text,,,,
Mon Dec 24 14:31:50 +0000 2018,108959,1.07721E+18,NULL,25312,Twitter for iPhone,"Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence. It was only when I made it an important part of my campaign\, because people and drugs were pouring into our Country unchecked\, that they turned against it. Desperately needed!",,,,
Mon Dec 24 04:54:00 +0000 2018,97095,1.07706E+18,NULL,21687,Twitter for iPhone,"President @RT_Erdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syria....and he is a man who can do it plus\, Turkey is right “next door.” Our troops are coming home!",,,,
Mon Dec 24 04:26:22 +0000 2018,78731,1.07706E+18,NULL,16102,Twitter for iPhone,"“The President has been remarkable. I do not doubt that he will thrive in this new environment\, and he will be a constant reminder of what populism is.” Thank you to Tammy Bruce and Steve Hilton. Presidential Harassment has been with me from the beginning!",,,,
Mon Dec 24 04:05:26 +0000 2018,100793,1.07705E+18,NULL,24084,Twitter for iPhone,"The most important way to stop gangs\, drugs\, human trafficking and massive crime is at our Southern Border. We need Border Security\, and as EVERYONE knows\, you can’t have Border Security without a Wall. The Drones &amp; Technology are just bells and whistles. Safety for America!",,,,
Mon Dec 24 03:47:21 +0000 2018,130343,1.07705E+18,NULL,26483,Twitter for iPhone,"Mitch McConnell just told a group of people\, and me\, that he has been in the U.S. Senate for 32 years and the last two have been by far the best &amp; most productive of his career. Tax &amp; Regulation Cuts\, VA Choice\, Farm Bill\, Criminal Justice Reform\, Judgeships &amp; much more. Great!",,,,
Mon Dec 24 03:32:49 +0000 2018,89834,1.07704E+18,NULL,22085,Twitter for iPhone,"“It should not be the job of America to replace regimes around the world. This is what President Trump recognized in Iraq\, that it was the biggest foreign policy disaster of the last several decades\, and he’s right...The generals still don’t get the mistake.”  @RandPaul",,,,
Mon Dec 24 00:42:22 +0000 2018,0,1.077E+18,NULL,1326,Twitter for iPhone,RT @RSScott_BP252: USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough -JUST LIKE EVERY OTH…,,,,
Sun Dec 23 21:18:49 +0000 2018,109499,1.07695E+18,NULL,25269,Twitter for iPhone,"Thanks @RandPaul  “I am very proud of the President. This is exactly what he promised\, and I think the people agree with him. We’ve been at war too long and in too many places...spent several trillion dollars on these wars everywhere. He’s different...that’s why he got elected.”",,,,
Sun Dec 23 20:20:22 +0000 2018,97700,1.07694E+18,NULL,21647,Twitter for iPhone,".....Bob Corker was responsible for giving us the horrible Iran Nuclear Deal\, which I ended\, yet he badmouths me for wanting to bring our young people safely back home. Bob wanted to run and asked for my endorsement. I said NO and the game was over. #MAGA I LOVE TENNESSEE!",,,,
Sun Dec 23 19:56:37 +0000 2018,78531,1.07693E+18,NULL,16542,Twitter for iPhone,"Senator Bob Corker just stated that\, “I’m so priveledged to serve in the Senate for twelve years\, and that’s what I told the people of our state that’s what I’d do\, serve for two terms.” But that is Not True - wanted to run but poll numbers TANKED when I wouldn’t endorse him.....",,,,
Sun Dec 23 19:45:22 +0000 2018,94526,1.07693E+18,NULL,22964,Twitter for iPhone,"We signed two pieces of major legislation this week\, Criminal Justice Reform and the Farm Bill. These are two Big Deals\, but all the Fake News Media wants to talk about is “the mistake” of bringing our young people back home from the Never Ending Wars. It all began 19 years ago!",,,,
Sun Dec 23 17:13:27 +0000 2018,79681,1.07689E+18,NULL,15980,Twitter for iPhone,Unthinkable devastation from the tsunami disaster in Indonesia. More than two hundred dead and nearly a thousand injured or unaccounted for. We are praying for recovery and healing. America is with you!,,,,
Sun Dec 23 16:59:22 +0000 2018,80994,1.07688E+18,NULL,17811,Twitter for iPhone,"I just had a long and productive call with President @RT_Erdogan of Turkey. We discussed ISIS\, our mutual involvement in Syria\, &amp; the slow &amp; highly coordinated pullout of U.S. troops from the area. After many years they are coming home. We also discussed heavily expanded Trade.",,,,
Sun Dec 23 16:46:47 +0000 2018,87099,1.07688E+18,NULL,18488,Twitter for iPhone,"I am pleased to announce that our very talented Deputy Secretary of Defense\, Patrick Shanahan\, will assume the title of Acting Secretary of Defense starting January 1\, 2019. Patrick has a long list of accomplishments while serving as Deputy\, &amp; previously Boeing. He will be great!",,,,
Sun Dec 23 14:17:54 +0000 2018,143519,1.07684E+18,NULL,32373,Twitter for iPhone,"The only way to stop drugs\, gangs\, human trafficking\, criminal elements and much else from coming into our Country is with a Wall or Barrier. Drones and all of the rest are wonderful and lots of fun\, but it is only a good old fashioned Wall that works!",,,,
Sun Dec 23 02:20:32 +0000 2018,115831,1.07666E+18,NULL,25501,Twitter for iPhone,"When President Obama ingloriously fired Jim Mattis\, I gave him a second chance. Some thought I shouldn’t\, I thought I should. Interesting relationship-but I also gave all of the resources that he never really had. Allies are very important-but not when they take advantage of U.S.",,,,
Sun Dec 23 01:59:29 +0000 2018,153603,1.07666E+18,NULL,33843,Twitter for iPhone,"If anybody but your favorite President\, Donald J. Trump\, announced that\, after decimating ISIS in Syria\, we were going to bring our troops back home (happy &amp; healthy)\, that person would be the most popular hero in America. With me\, hit hard instead by the Fake News Media. Crazy!",,,,
Sun Dec 23 01:48:23 +0000 2018,86619,1.07666E+18,NULL,19476,Twitter for iPhone,"Brett McGurk\, who I do not know\, was appointed by President Obama in 2015. Was supposed to leave in February but he just resigned prior to leaving. Grandstander? The Fake News is making such a big deal about this nothing event!",,,,
Sat Dec 22 23:58:43 +0000 2018,121172,1.07663E+18,NULL,23907,Twitter for iPhone,I will not be going to Florida because of the Shutdown - Staying in the White House!  #MAGA,,,,
Sat Dec 22 21:12:02 +0000 2018,64932,1.07659E+18,NULL,14231,Twitter for iPhone,Senate adjourns until December 27th.,,,,
Sat Dec 22 20:28:21 +0000 2018,175583,1.07658E+18,NULL,40152,Twitter for iPhone,"I won an election\, said to be one of the greatest of all time\, based on getting out of endless &amp; costly foreign wars &amp; also based on Strong Borders which will keep our Country safe. We fight for the borders of other countries\, but we won’t fight for the borders of our own!",,,,
Sat Dec 22 20:03:58 +0000 2018,111130,1.07657E+18,NULL,24788,Twitter for iPhone,The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrier or Wall. Let work begin!,,,,
Sat Dec 22 17:02:37 +0000 2018,93772,1.07652E+18,NULL,17276,Twitter for iPhone,Will be having lunch in White House residence with large group concerning Border Security.,,,,
