Date, Open, High, Low, Close
5/16/2018,271.14,272.76,271.11,272.24
5/15/2018,271.59,271.61,270.03,271.1
5/14/2018,273.34,274.08,272.36,272.98
5/11/2018,272.16,273.15,271.58,272.85
5/10/2018,270.34,272.39,270.22,272.02
5/9/2018,267.68,269.865,267.09,269.5
5/8/2018,266.5,267.325,265.15,266.92
5/7/2018,266.89,268.02,266.11,266.92
5/4/2018,261.52,266.7892,261.15,266.02
5/3/2018,262.26,263.36,259.05,262.62
5/2/2018,264.76,265.68,262.76,263.2
5/1/2018,263.87,265.1,262.11,264.98
4/30/2018,267.26,267.89,264.43,264.51
4/27/2018,267,267.34,265.5,266.56
4/26/2018,264.79,267.2452,264.29,266.31
4/25/2018,262.91,264.13,260.85,263.63
4/24/2018,267.73,267.9762,261.28,262.98
4/23/2018,267.26,267.89,265.35,266.57
4/20/2018,268.81,269.06,265.61,266.61
4/19/2018,269.65,269.88,267.72,268.89
4/18/2018,270.69,271.3,269.87,270.39
4/17/2018,269.33,270.87,268.75,270.19
4/16/2018,267,268.2,266.07,267.33
4/13/2018,267.41,267.54,264.01,265.15
4/12/2018,265.26,267,265.06,265.93
4/11/2018,263.47,265.64,263.39,263.76
4/10/2018,264.27,266.04,262.98,265.15
4/9/2018,261.37,264.84,259.9356,261
4/6/2018,263.42,265.11,258,259.72
4/5/2018,265.55,266.64,264.32,265.64
4/4/2018,256.75,264.355,256.6,263.56
4/3/2018,258.87,261.31,256.84,260.77
4/2/2018,262.55,263.13,254.67,257.47
3/29/2018,261.12,265.26,259.8389,263.15
3/28/2018,260.75,262.64,258.58,259.83
3/27/2018,266.17,266.77,258.84,260.6
3/26/2018,262.13,265.43,259.41,265.11
3/23/2018,264.17,265.02,257.83,258.05
3/22/2018,267.91,268.87,263.36,263.67
3/21/2018,270.9,273.27,270.19,270.43
3/20/2018,270.94,271.67,270.18,270.95
3/19/2018,273.35,274.3957,268.62,270.49
3/16/2018,274.5,275.39,274.14,274.2
3/15/2018,275.88,276.61,274.43,275
3/14/2018,277.81,278.02,274.67,275.3
3/13/2018,279.84,280.41,276.03,276.72
3/12/2018,279.2,279.91,278.0801,278.52
3/9/2018,275.7,278.87,275.34,278.87
3/8/2018,273.55,274.24,272.42,274.1
3/7/2018,270.42,273.18,270.2,272.78
3/6/2018,273.3,273.39,271.18,272.88
3/5/2018,267.73,272.89,267.61,272.19
3/2/2018,265.8,269.72,264.82,269.08
3/1/2018,271.41,273.17,266,267.7
2/28/2018,275.68,276.19,271.29,271.65
2/27/2018,278.11,278.92,274.36,274.43
2/26/2018,275.93,278.01,275.26,277.9
2/23/2018,271.79,274.71,271.25,274.71
2/22/2018,271.1,273.05,269.64,270.4
2/21/2018,271.9,274.72,269.94,270.05
2/20/2018,272.03,273.67,270.5,271.4
2/16/2018,272.32,275.32,272.27,273.11
2/15/2018,271.57,273.04,268.77,273.03
2/14/2018,264.31,270,264.3,269.59
2/13/2018,263.97,266.62,263.31,266
2/12/2018,263.83,267.01,261.6644,265.34
2/9/2018,260.8,263.61,252.92,261.5
2/8/2018,268.01,268.17,257.59,257.63
2/7/2018,268.5,272.36,267.58,267.67
2/6/2018,259.94,269.7,258.7,269.13
2/5/2018,273.45,275.85,263.31,263.93
2/2/2018,280.08,280.23,275.41,275.45
2/1/2018,281.07,283.06,280.68,281.58
1/31/2018,282.73,283.3,280.68,281.9
1/30/2018,282.6,284.736,281.22,281.76
1/29/2018,285.93,286.43,284.5,284.68
1/26/2018,284.25,286.6285,283.96,286.58
1/25/2018,284.16,284.27,282.405,283.3
1/24/2018,284.02,284.7,281.84,283.18
1/23/2018,282.74,283.62,282.37,283.29
1/22/2018,280.17,282.69,280.11,282.69
1/19/2018,279.8,280.41,279.14,280.41
1/18/2018,279.48,279.96,278.58,279.14
1/17/2018,278.03,280.05,276.97,279.61
1/16/2018,279.35,280.09,276.18,276.97
1/12/2018,276.42,278.11,276.0819,277.92
1/11/2018,274.75,276.12,274.56,276.12
1/10/2018,273.68,274.42,272.92,274.12
1/9/2018,274.4,275.25,274.081,274.54
1/8/2018,273.31,274.1,272.98,273.92
1/5/2018,272.51,273.56,271.95,273.42
1/4/2018,271.2,272.16,270.5447,271.61
1/3/2018,268.96,270.64,268.96,270.47
1/2/2018,267.84,268.81,267.4,268.77
